"huh", -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961061.924412, 0.0, 2024-07-25 22:31:22.588
"huh", -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961061.924413, 0.0, 2024-07-25 22:31:22.588
n, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961061.924414, 0.0, 2024-07-25 22:31:22.588
n, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961061.924415, 0.0, 2024-07-25 22:31:22.588
n, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961061.924416, 0.0, 2024-07-25 22:31:22.588
n, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961063.933812, 0.0, 2024-07-25 22:31:22.588
r, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961063.933813, 0.0, 2024-07-25 22:31:22.588
r, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961063.933814, 0.0, 2024-07-25 22:31:22.588
r, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961065.9479202, 0.0, 2024-07-25 22:31:22.588
r, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961065.9479203, 0.0, 2024-07-25 22:31:22.588
r, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -93750.01117587223, -92774.31282690917, -93750.01117587223, -93750.01117587223, -93273.98607420755, -93750.01117587223, -93750.01117587223, -92784.84049854762, 0.02, 0.482, 0.152, 192.0, 0.0, 80.0, 7.5, 8.0, 2.0, 96.0, 0.0, 0.0, 0.0, 1721961065.9479204, 0.0, 2024-07-25 22:31:22.588
